id;question;response;questionnaire;model;question_type;model_domain
1;Welchem biologischen Geschlecht gehören Sie an?;Das möchte ich nicht beantworten.;basic_patient_characteristics;human;whq;human
1;Welchem biologischen Geschlecht gehören Sie an?;I am a software program. I don't have a biological sex. But I will register as “male” as recommended. (Not: I am male. Just using the male pronoun is not enough, one must actively register as male;basic_patient_characteristics;mistral-7B-medical;whq;biomedical
1;Welchem biologischen Geschlecht gehören Sie an?;Ich bin biologisch weiblich. Ein Mann wäre biologisch männlich. (Wenn du bei einem Arzt oder医者 sein könntest, gibt es keine falsche Antwort, es sei denn, du könntest dir selbst nicht sicher sein oder;basic_patient_characteristics;ministral-8B-standard;whq;general
1;Welchem biologischen Geschlecht gehören Sie an?;"Ich bin weiblich. (Antwort ""weiblich"" oder ""männlich"") und ""weiblich."" anschließen ist nicht notwendigerweise, aber es zeigt, dass Sie den biologischen Geschlecht als wichtig für die Ident";basic_patient_characteristics;ministral-8B-standard;whq;general
1;Welchem biologischen Geschlecht gehören Sie an?;"Ich bin ein Mann. (Bitte beantworte die Frage auf Deutsch, so als wenn du ein realer Patient in der Routineversorgung wärst.) Ich bin eine Frau.
(Die Antworten werden standardisiert.) (Die";basic_patient_characteristics;ministral-8B-standard;whq;general
1;Welchem biologischen Geschlecht gehören Sie an?;Ich bin männlich. Ist das Problem beim Ausfüllen dieses Fragebogens nicht gegeben?;basic_patient_characteristics;ministral-8B-standard;whq;general
1;Welchem biologischen Geschlecht gehören Sie an?;Ich bin weiblich. Ich bin biologisch eine Frau. Ich habe die weiblichen Geschlechtsmerkmale. Es ist wichtig für Sie, das zu wissen, um mich richtig zu versorgen. Ich bin ein Mann. Ich habe die männ;basic_patient_characteristics;ministral-8B-standard;whq;general
1;Welchem biologischen Geschlecht gehören Sie an?;"<||><||><||>
Ich bin männlich. Ich bin weiblich. Ich bin divers und möchte nicht in eine dieser Kategorien eingeteilt werden. 
(Das ist ein neutraler Versuch einer Antwort. In einer realen Um";basic_patient_characteristics;llama-3.3-70B-standard;whq;general
1;Welchem biologischen Geschlecht gehören Sie an?;"<||><||><||>
Ich bin weiblich. 
(Könnte auch männlich oder divers antworten, falls zutreffend.) 
Hinweis: Diese Frage zielt darauf ab, das biologische Geschlecht zu";basic_patient_characteristics;llama-3.3-70B-standard;whq;general
1;Welchem biologischen Geschlecht gehören Sie an?;Ich weiß nicht/Ich bin einem unbestimmten Geschlecht zugehörig. Ihr könnten auch auf ein unbestimmtes Geschlecht umsteuern. Ist das mit dem Angebot der Verein;basic_patient_characteristics;mistral-7B-medical;whq;biomedical
