quid,model,response,similarity_to_centroid,pairwise_mean_micro,similarity_to_human_centroid,avg_centroid_similarity,avg_human_model_centroid_distance,questionnaire,question_type,model_domain
1,human,1,0.40003896,0.6002503,0.40003896,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,2,0.6320523,0.6002503,0.6320523,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,3,0.9381666,0.6002503,0.9381666,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,4,0.9381666,0.6002503,0.9381666,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,5,0.9381666,0.6002503,0.9381666,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,6,0.9381666,0.6002503,0.9381666,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,7,0.9381666,0.6002503,0.9381666,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,8,0.9381666,0.6002503,0.9381666,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,9,0.32717663,0.6002503,0.32717663,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,10,0.9381666,0.6002503,0.9381666,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,11,0.86197233,0.6002503,0.86197233,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,12,0.86197233,0.6002503,0.86197233,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,13,0.86197233,0.6002503,0.86197233,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,14,0.86197233,0.6002503,0.86197233,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,15,0.86197233,0.6002503,0.86197233,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,16,0.86197233,0.6002503,0.86197233,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,17,0.86197233,0.6002503,0.86197233,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,18,0.86197233,0.6002503,0.86197233,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,19,0.86197233,0.6002503,0.86197233,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,20,0.9381666,0.6002503,0.9381666,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,21,0.7966256,0.6002503,0.7966256,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,22,0.85226566,0.6002503,0.85226566,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,23,0.7966256,0.6002503,0.7966256,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,24,0.36613134,0.6002503,0.36613134,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,25,0.36613134,0.6002503,0.36613134,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,26,0.52876747,0.6002503,0.52876747,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,27,0.7824483,0.6002503,0.7824483,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,28,0.8020221,0.6002503,0.8020221,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,29,0.7432581,0.6002503,0.7432581,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,30,0.7432581,0.6002503,0.7432581,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,31,0.85226566,0.6002503,0.85226566,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,32,0.66777706,0.6002503,0.66777706,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,33,0.8796623,0.6002503,0.8796623,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,34,0.8796623,0.6002503,0.8796623,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,35,0.9110552,0.6002503,0.9110552,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,36,0.9110552,0.6002503,0.9110552,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,37,0.9110552,0.6002503,0.9110552,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,38,0.3922674,0.6002503,0.3922674,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,human,39,0.66777706,0.6002503,0.66777706,0.78134507,0.78134507,basic_patient_characteristics,whq,human
1,mistral-7B-medical,1,0.85540533,0.60812676,0.46959957,0.8285538,0.4831561,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,2,0.87707466,0.60812676,0.6130863,0.8285538,0.4831561,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,3,0.89030945,0.60812676,0.47954923,0.8285538,0.4831561,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,4,0.73249125,0.60812676,0.5417491,0.8285538,0.4831561,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,5,0.7874884,0.60812676,0.3117962,0.8285538,0.4831561,basic_patient_characteristics,whq,biomedical
