question_id,model_1,model_2,mean_pairwise_similarity,mean_centroid_comparison,questionnaire,question_type,model_domain
1,human,mistral-7B-medical,0.37751168,0.58313185,basic_patient_characteristics,whq,human
1,human,ministral-8B-standard,0.4111969,0.6330341,basic_patient_characteristics,whq,human
1,human,llama-3.3-70B-standard,0.38582903,0.5821295,basic_patient_characteristics,whq,human
1,human,llama-3.2-3B-standard,0.42535424,0.6106756,basic_patient_characteristics,whq,human
1,human,llama-3.2-1B-standard,0.2867069,0.522089,basic_patient_characteristics,whq,human
1,human,qwen2.5-7B-standard,0.37438923,0.53399575,basic_patient_characteristics,whq,human
1,human,qwen2.5-7B-medical,0.32313526,0.55711997,basic_patient_characteristics,whq,human
1,human,phi-4-mini-standard,0.28046393,0.5474944,basic_patient_characteristics,whq,human
1,human,mistral-7B-standard,0.2696918,0.48824382,basic_patient_characteristics,whq,human
1,human,llama-3.2-1B-medical,0.27449784,0.47396076,basic_patient_characteristics,whq,human
1,human,bloom-6B4-german-standard,0.21024492,0.39053246,basic_patient_characteristics,whq,human
1,human,biogpt-medtext-347M-medical,0.386852,0.6731961,basic_patient_characteristics,whq,human
1,human,biogpt-medical,0.24674325,0.464773,basic_patient_characteristics,whq,human
1,human,R1-Qwen-8B-standard,0.3329184,0.5755168,basic_patient_characteristics,whq,human
1,human,Mistral-124B-large-standard,0.2890302,0.5099778,basic_patient_characteristics,whq,human
1,human,gemma3-4B-standard,0.41441134,0.56010795,basic_patient_characteristics,whq,human
1,human,flanT5-base-standard,0.24335824,0.44598684,basic_patient_characteristics,whq,human
1,human,flanT5-base-medical,0.38218367,0.58048135,basic_patient_characteristics,whq,human
1,mistral-7B-medical,ministral-8B-standard,0.5698677,0.82732,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,llama-3.3-70B-standard,0.61262244,0.8716452,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,llama-3.2-3B-standard,0.6204127,0.8399679,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,llama-3.2-1B-standard,0.30031493,0.51571,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,qwen2.5-7B-standard,0.65604776,0.88241357,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,qwen2.5-7B-medical,0.5263939,0.85584956,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,phi-4-mini-standard,0.2960619,0.5450138,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,mistral-7B-standard,0.37408078,0.6386407,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,llama-3.2-1B-medical,0.2750773,0.44789934,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,bloom-6B4-german-standard,0.37127376,0.65035146,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,biogpt-medtext-347M-medical,0.09429404,0.15474018,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,biogpt-medical,0.14629331,0.25986168,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,R1-Qwen-8B-standard,0.44237056,0.7211551,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,Mistral-124B-large-standard,0.3699873,0.6156262,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,gemma3-4B-standard,0.47347838,0.60347927,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,flanT5-base-standard,0.40804213,0.70518523,basic_patient_characteristics,whq,biomedical
1,mistral-7B-medical,flanT5-base-medical,0.5416055,0.7757493,basic_patient_characteristics,whq,biomedical
1,ministral-8B-standard,llama-3.3-70B-standard,0.6211409,0.8808013,basic_patient_characteristics,whq,general
1,ministral-8B-standard,llama-3.2-3B-standard,0.6495015,0.8764014,basic_patient_characteristics,whq,general
1,ministral-8B-standard,llama-3.2-1B-standard,0.32206768,0.55120945,basic_patient_characteristics,whq,general
1,ministral-8B-standard,qwen2.5-7B-standard,0.5957498,0.7986225,basic_patient_characteristics,whq,general
1,ministral-8B-standard,qwen2.5-7B-medical,0.5004725,0.81097555,basic_patient_characteristics,whq,general
1,ministral-8B-standard,phi-4-mini-standard,0.36053735,0.661479,basic_patient_characteristics,whq,general
