corpus,language,collection,type_token_ratio,lexical_density,guiraud_r,herdan_c,dugast_k,maas_a2,dugast_u,tuldava_ln,brunet_w,cttr,summer_s,sttr,sichel_s,michea_m,honore_h,entropy,yule_k,simpson_d,herdan_vm,hdd,evenness,mattr,mtld
biomedical,German,,0.1801,12.0854,52.6574,0.8491,3.9682,11.2808,75.2307,-0.0881,8.6945,37.2344,0.9327,1.2212,0.1047,9.5543,4091.4159,6.9696,1.0198,0.0102,0.1007,0.0661,1.3393,0.8577,62.8383
cq,German,,0.1328,9.2842,41.8827,0.8246,3.884,11.4353,65.5923,-0.0869,9.4883,29.6155,0.921,1.2032,0.1213,8.2428,3454.9654,6.7384,1.0154,0.0102,0.1004,0.0618,1.273,0.9051,66.7312
general,German,,0.0888,6.2463,40.1001,0.8019,3.9161,12.1601,61.7247,-0.0818,9.6232,28.3551,0.9118,1.2962,0.1211,8.2581,3226.5673,6.7515,0.9243,0.0092,0.0959,0.0523,1.1974,0.9111,64.2766
human,German,,0.131,9.1033,22.6947,0.8028,3.5477,10.2322,52.282,-0.097,11.9766,16.0476,0.9059,1.2996,0.1401,7.1379,2423.7558,6.0341,1.4212,0.0142,0.1183,0.0706,1.2648,0.83,40.4828
human_cq,German,,0.1875,13.0097,19.0267,0.8188,3.4026,9.1513,50.982,-0.1082,12.3648,13.4539,0.9101,1.3144,0.1367,7.3144,2320.1879,5.7861,1.5087,0.0151,0.1211,0.0839,1.3713,0.8339,39.2498
human_pq,German,,0.1438,9.7913,18.0264,0.7993,3.4049,9.5798,48.1292,-0.1035,12.9317,12.7466,0.9012,1.3152,0.1513,6.6082,2192.509,5.6979,1.7066,0.0171,0.1292,0.0758,1.293,0.8354,38.7799
human_whq,German,,0.2999,15.7161,19.0013,0.8549,3.3523,8.1948,57.1293,-0.1205,11.5837,13.436,0.9259,1.3044,0.1246,8.0267,2395.8135,6.073,0.75,0.0075,0.0832,0.1012,1.6463,0.84,38.8004
large,German,,0.0936,6.9081,16.929,0.7721,3.4282,10.3213,45.6159,-0.0962,13.6495,11.9706,0.8896,1.1807,0.1391,7.1878,1967.3234,5.9079,1.4068,0.0141,0.1174,0.0648,1.2256,0.9046,51.2701
large_cq,German,,0.1395,9.9152,14.0448,0.7865,3.265,9.1386,43.1792,-0.1084,14.1358,9.9312,0.8919,1.1963,0.1499,6.6698,1850.0031,5.5831,1.5383,0.0154,0.1216,0.0815,1.3141,0.8932,47.4938
large_general,German,,0.0936,6.9081,16.929,0.7721,3.4282,10.3213,45.6159,-0.0962,13.6495,11.9706,0.8896,1.1807,0.1391,7.1878,1967.3234,5.9079,1.4068,0.0141,0.1174,0.0648,1.2256,0.9046,51.2701
large_general_cq,German,,0.1395,9.9152,14.0448,0.7865,3.265,9.1386,43.1792,-0.1084,14.1358,9.9312,0.8919,1.1963,0.1499,6.6698,1850.0031,5.5831,1.5383,0.0154,0.1216,0.0815,1.3141,0.8932,47.4938
large_general_pq,German,,0.1105,7.9376,14.4865,0.7741,3.3147,9.6724,43.1632,-0.1025,14.3221,10.2435,0.8876,1.176,0.1311,7.6265,1868.6723,5.6747,1.5794,0.0158,0.1238,0.0727,1.258,0.8659,50.3768
large_general_whq,German,,0.1852,11.4736,13.601,0.8037,3.211,8.4997,43.7598,-0.1164,13.7299,9.6173,0.8984,1.1717,0.1331,7.5113,1713.4999,5.7366,0.9962,0.01,0.0956,0.0986,1.474,0.8779,58.1231
large_pq,German,,0.1105,7.9376,14.4865,0.7741,3.3147,9.6724,43.1632,-0.1025,14.3221,10.2435,0.8876,1.176,0.1311,7.6265,1868.6723,5.6747,1.5794,0.0158,0.1238,0.0727,1.258,0.8659,50.3768
large_whq,German,,0.1852,11.4736,13.601,0.8037,3.211,8.4997,43.7598,-0.1164,13.7299,9.6173,0.8984,1.1717,0.1331,7.5113,1713.4999,5.7366,0.9962,0.01,0.0956,0.0986,1.474,0.8779,58.1231
medium,German,,0.0902,6.3711,39.3071,0.8021,3.903,12.0878,61.4058,-0.0823,9.7048,27.7943,0.9117,1.3026,0.1213,8.2411,3187.3425,6.7122,0.9835,0.0098,0.0989,0.053,1.192,0.8816,64.3248
medium_biomedical,German,,0.1699,10.5966,32.3969,0.8312,3.7119,10.4216,62.2101,-0.0952,10.3813,22.908,0.9214,1.1588,0.1358,7.3611,2783.3693,6.5894,1.0255,0.0103,0.1006,0.0761,1.3812,0.8864,79.1081
medium_biomedical_cq,German,,0.2409,14.2478,25.6282,0.8475,3.5416,9.243,61.198,-0.1071,10.9587,18.1219,0.9259,1.1619,0.1339,7.4685,2701.054,6.3034,1.1049,0.011,0.1038,0.0875,1.5156,0.9199,76.917
medium_biomedical_pq,German,,0.1969,12.2046,26.8615,0.8347,3.5905,9.7469,59.4684,-0.1017,10.9867,18.994,0.9209,1.1507,0.1307,7.6514,2709.2828,6.3292,1.1114,0.0111,0.1044,0.0809,1.3867,0.9272,78.7473
medium_biomedical_whq,German,,0.2901,14.9719,23.2282,0.8588,3.4679,8.668,62.0624,-0.1141,11.0372,16.4248,0.9299,1.1736,0.1263,7.9149,2543.623,6.3209,0.8226,0.0082,0.0886,0.0978,1.6158,0.8797,77.4992
medium_cq,German,,0.1383,9.5979,33.3482,0.8197,3.7543,10.8964,60.8312,-0.0911,10.3423,23.5807,0.917,1.1761,0.1304,7.6673,2992.2218,6.5547,1.0479,0.0105,0.1018,0.0667,1.2996,0.9208,75.7837
medium_general,German,,0.0939,6.7565,36.7913,0.8019,3.8612,11.8741,60.2822,-0.0837,9.975,26.0154,0.911,1.3343,0.1246,8.0251,3101.0666,6.6441,0.9844,0.0098,0.0989,0.0546,1.2016,0.9105,61.152
medium_general_cq,German,,0.145,10.2294,31.3776,0.8204,3.7146,10.6785,59.8853,-0.093,10.5672,22.1873,0.9167,1.1778,0.1306,7.6573,2939.5046,6.4875,1.0437,0.0104,0.1015,0.0684,1.2982,0.9207,75.5332
medium_general_pq,German,,0.1085,7.6661,30.8179,0.8034,3.7437,11.2275,57.4697,-0.0885,10.7095,21.7916,0.9097,1.3806,0.1286,7.7753,2932.6702,6.4558,1.0597,0.0106,0.1024,0.0597,1.238,0.905,55.179
medium_general_whq,German,,0.1694,11.2325,27.262,0.8253,3.617,10.0811,58.1528,-0.0984,11.0421,19.2772,0.9172,1.4423,0.1335,7.4881,2737.387,6.4602,0.7986,0.008,0.0883,0.0756,1.3691,0.9139,53.7724
