corpus,language,collection,1_grams,2_grams,3_grams
biomedical,German,,0.8185318695723415,0.9052105521874488,0.8791811989419723
cq,German,,0.8515467028821487,0.911443086363865,0.8704894120014084
general,German,,0.840257893704648,0.9109040988429103,0.8741566973916454
human,German,,0.9672027436486532,0.847501082142976,0.7295641461059501
human_cq,German,,0.9642718446601942,0.8616504854368932,0.7485436893203884
human_pq,German,,0.9671077745260211,0.851825932052424,0.7352080417355897
human_whq,German,,0.975093399750934,0.7942714819427148,0.6587795765877957
large,German,,0.8756839370319426,0.952101482500382,0.9195476081308268
large_cq,German,,0.8679952644041041,0.9510655090765588,0.918409629044988
large_general,German,,0.8756839370319426,0.952101482500382,0.9195476081308268
large_general_cq,German,,0.8679952644041041,0.9510655090765588,0.918409629044988
large_general_pq,German,,0.8731378026070763,0.9556564245810056,0.9258030726256984
large_general_whq,German,,0.8982391102873031,0.9427247451343836,0.901760889712697
large_pq,German,,0.8731378026070763,0.9556564245810056,0.9258030726256984
large_whq,German,,0.8982391102873031,0.9427247451343836,0.901760889712697
medium,German,,0.8445023971339761,0.915468099678626,0.878978978978979
medium_biomedical,German,,0.8469264212206262,0.9438115678828904,0.9252655329921304
medium_biomedical_cq,German,,0.8428495669082553,0.9435213010429556,0.9246950680572742
medium_biomedical_pq,German,,0.8532445208422862,0.9486463257412978,0.9289858186506232
medium_biomedical_whq,German,,0.835776668746101,0.9302869619463506,0.915470991890206
medium_cq,German,,0.8506936684488301,0.9256992556172532,0.8911963416940295
medium_general,German,,0.8439283759480803,0.9087562227956316,0.8680180884614382
medium_general_cq,German,,0.8525877707822004,0.9213957955394302,0.8831074591825846
medium_general_pq,German,,0.8396525661041311,0.9077268108938616,0.8681634574876713
medium_general_whq,German,,0.8415872158103987,0.8891033311460224,0.8402748291967422
medium_pq,German,,0.8422001167918487,0.9153963875072996,0.879563440124041
medium_whq,German,,0.8404344193817878,0.897274049320833,0.8551935394040657
not-human,German,,0.8338435809013068,0.9092231567162632,0.8756401130607252
not-human_cq,German,,0.8385163571067842,0.9171988103922338,0.8845856012569441
not-human_pq,German,,0.8324222231089475,0.9097801364670204,0.8766675977282098
not-human_whq,German,,0.829785103442751,0.8933127716248422,0.8565820832749194
pq,German,,0.845168709809494,0.9042954167770526,0.8632800269743022
small,German,,0.80295936021681,0.8856060881032751,0.8573070547953492
small_biomedical,German,,0.7975152749490835,0.8766395112016293,0.845071283095723
small_biomedical_cq,German,,0.7935670972844714,0.876021618771421,0.8437252834168204
small_biomedical_pq,German,,0.8002642325246216,0.8786932500600528,0.8467851709504364
small_biomedical_whq,German,,0.796536312849162,0.8719553072625699,0.8425698324022346
small_cq,German,,0.8073159366262814,0.8909210935073004,0.8611758310034172
small_general,German,,0.8109259976753197,0.8987273865228147,0.8752123506094835
small_general_cq,German,,0.8270321361058601,0.9122873345935728,0.8862003780718336
small_general_pq,German,,0.8065697674418605,0.8978488372093023,0.8751162790697674
small_general_whq,German,,0.7943876667244067,0.8764940239043825,0.8553611640394942
small_pq,German,,0.8028356014984115,0.8865048129356536,0.8583384702925696
small_whq,German,,0.7956938124023637,0.8737349724920193,0.8475854105820825
whq,German,,0.8405998591183776,0.8859414970526082,0.8418603788974159
