corpus,language,collection,avg_token_len_chars,avg_sent_len_tokens,avg_sent_len_chars,flesch_kincaid_grade_level,smog,coleman_liau,ari,forcast,gunning_fog,wiener_sachtextformel_1,wiener_sachtextformel_2,wiener_sachtextformel_3,wiener_sachtextformel_4,flesch_reading_ease,heylighen_formality
biomedical,German,,4.499,9.3829,48.8967,8.1463,17.0435,11.1047,7.2095,13.6506,11.2554,0.7296,-1.1674,0.6995,0.749,76.6425,74.8294
cq,German,,4.6761,9.5185,51.4399,8.7235,17.4112,11.7308,7.6821,13.6535,11.3371,0.7453,-1.1523,0.7195,0.7201,74.5143,71.6348
general,German,,4.5917,10.3526,55.0234,8.3441,17.4485,11.5177,7.6068,13.5999,11.1787,0.8783,-1.0196,0.8723,0.7476,77.719,69.5436
human,German,,4.4903,6.1507,31.9769,5.4116,12.222,7.9783,4.796,12.5284,7.4355,0.1763,-1.723,0.0736,0.3924,85.6376,59.9085
human_cq,German,,4.6124,6.6514,35.4538,6.5692,13.3465,9.2915,5.7223,12.9203,8.2221,0.2665,-1.6317,0.1747,0.4623,80.7414,62.281
human_pq,German,,4.3612,6.3771,32.3398,4.9314,11.7548,7.4928,4.2988,12.0848,6.9519,0.2139,-1.6851,0.1164,0.4106,88.3131,56.5808
human_whq,German,,4.6824,4.6172,24.7575,4.5267,11.344,6.5547,4.5965,13.2519,7.4864,-0.0691,-1.9669,-0.2091,0.2829,87.678,65.9614
large,German,,4.6575,9.8246,53.2065,8.2919,16.5767,11.2748,7.3596,13.5402,10.4642,0.7877,-1.1103,0.7699,0.6885,77.5447,65.5711
large_cq,German,,4.7609,9.8153,54.1402,9.2391,17.5445,11.996,7.9532,13.8941,11.2352,0.7916,-1.1057,0.773,0.7241,72.8216,68.8842
large_general,German,,4.6575,9.8246,53.2065,8.2919,16.5767,11.2748,7.3596,13.5402,10.4642,0.7877,-1.1103,0.7699,0.6885,77.5447,65.5711
large_general_cq,German,,4.7609,9.8153,54.1402,9.2391,17.5445,11.996,7.9532,13.8941,11.2352,0.7916,-1.1057,0.773,0.7241,72.8216,68.8842
large_general_pq,German,,4.6356,10.0476,54.2133,8.2232,16.4889,11.2973,7.3735,13.4217,10.4489,0.8263,-1.0713,0.8136,0.7165,78.2187,64.3083
large_general_whq,German,,4.5338,9.197,48.6672,6.776,14.9817,9.8768,6.2421,13.25,9.1067,0.6893,-1.2077,0.6558,0.6732,84.1377,63.4602
large_pq,German,,4.6356,10.0476,54.2133,8.2232,16.4889,11.2973,7.3735,13.4217,10.4489,0.8263,-1.0713,0.8136,0.7165,78.2187,64.3083
large_whq,German,,4.5338,9.197,48.6672,6.776,14.9817,9.8768,6.2421,13.25,9.1067,0.6893,-1.2077,0.6558,0.6732,84.1377,63.4602
medium,German,,4.6014,10.6271,56.631,8.4383,17.5537,11.6203,7.7504,13.5565,11.1507,0.9247,-0.973,0.9249,0.7737,77.7318,68.8855
medium_biomedical,German,,4.5673,10.1592,54.0729,8.1942,16.8537,11.0493,7.2645,13.1988,10.5956,0.8562,-1.0406,0.8443,0.7999,78.3144,69.6015
medium_biomedical_cq,German,,4.6391,9.7612,52.5966,8.9467,17.4709,11.4207,7.5402,13.5763,11.187,0.797,-1.0989,0.7755,0.815,73.8998,72.4569
medium_biomedical_pq,German,,4.5578,10.6722,56.7908,8.1758,16.9083,11.1251,7.3618,12.9584,10.5587,0.9441,-0.952,0.9436,0.8621,79.3292,67.3418
medium_biomedical_whq,German,,4.4682,9.517,49.5837,6.9734,15.5676,10.1689,6.5652,13.3884,9.7159,0.7547,-1.1406,0.7268,0.7745,83.1509,71.2026
medium_cq,German,,4.7574,10.3713,56.9937,9.3486,18.3436,12.3636,8.3215,13.7324,11.8341,0.8895,-1.0076,0.883,0.8063,72.9718,71.3962
medium_general,German,,4.6093,10.7412,57.2552,8.4965,17.7194,11.7535,7.8654,13.6412,11.2816,0.9445,-0.9531,0.9472,0.7882,77.5959,68.7213
medium_general_cq,German,,4.7854,10.5268,58.1142,9.4473,18.5581,12.5855,8.5107,13.7901,11.9906,0.9167,-0.9802,0.9135,0.8285,72.7533,71.1529
