id;question;response;rating1a;rating1b;rating2a;rating2b;questionnaire;question_type;participant_id;model;run;model_domain;
1;Welchem biologischen Geschlecht gehören Sie an?;Das möchte ich nicht beantworten.;2;3;;;basic_patient_characteristics;whq;1.0;human;;human;
2;Bitte nennen Sie Ihr Geburtsdatum!;01.03.1990;5;5;;;basic_patient_characteristics;whq;2.0;human;;human;
3;Bitte nennen Sie Ihr Körpergewicht in Kilogramm!;58;5;5;;;basic_patient_characteristics;whq;3.0;human;;human;
4;Bitte nennen Sie Ihre Körpergröße in Zentimetern!;1,75cm;5;5;;;basic_patient_characteristics;whq;4.0;human;;human;
5;Bitte nennen Sie Ihren Vornamen!;Frank;5;5;;;basic_patient_characteristics;whq;5.0;human;;human;
6;Bitte nennen Sie Ihren Nachnamen!;Breuer;5;5;;;basic_patient_characteristics;whq;6.0;human;;human;
7;Wie möchten Sie angesprochen werden, als Herr, Frau oder Enbi?;Enbi;5;5;;;basic_patient_characteristics;whq;7.0;human;;human;
8;Verstehen Sie gesprochenes Deutsch flüssig und sind Sie in der Lage selbst flüssiges Deutsch zu sprechen?;Ich verstehe Deutsch sehr gut und spreche auch sehr flüssig;5;5;;;basic_patient_circumstances;pq;8.0;human;;human;
9;Können Sie Texte auf Deutsch ohne Probleme lesen?;Ja;5;5;;;basic_patient_circumstances;pq;9.0;human;;human;
10;Üben Sie regelmäßig einen bestimmten Sport aus? Falls ja, bitte nennen Sie die Sportart.;Ich laufe jeden Abend aber eine bestimmte Sportart übe ich nicht aus;5;5;;;basic_patient_circumstances;combined;10.0;human;;human;
11;Rauchen Sie? Falls ja, geben Sie bitte an, wie oft Sie rauchen.;Ja, ca. 5 Zigaretten am Tag;5;5;;;basic_patient_circumstances;combined;11.0;human;;human;
12;Nehmen Sie andere Drogen zu sich? Falls ja, geben Sie bitte an, wie oft.;Ich nehme gelegentlich Pepp;5;3;;;basic_patient_circumstances;combined;12.0;human;;human;
13;Wie oft trinken Sie Alkohol pro Woche?;An den Wochenenden teiulweise, unter der Woche jedoch nicht, außer manchmal am See ein oder zwei Feierabend Bier nach der Arbeit.;5;2;;;basic_patient_circumstances;whq;13.0;human;;human;
14;Welche Arten Alkohol trinken Sie mehrmals wöchentlich?;Eigentlich nur Bier, vielleicht mal ein Weinschorle.;5;5;;;basic_patient_circumstances;whq;14.0;human;;human;
15;Bereitet es Ihnen Schwierigkeiten, sich körperlich anzustrengen? Also zum Beispiel, wenn Sie eine schwere Einkaufstasche oder einen Koffer tragen.;Ja, ich bekomme schnell Rückenschmerzen;3;5;;;eortc_qlq_30;pq;15.0;human;;human;
16;Bereitet es Ihnen Schwierigkeiten, einen längeren Spaziergang zu machen?;In der Regel nicht, außer es ist etwas hügeliger.;5;5;;;eortc_qlq_30;pq;16.0;human;;human;
17;Bereitet es Ihnen Schwierigkeiten, eine kurze Strecke außer Haus zu gehen?;Nein in der Regel nicht;4;5;;;eortc_qlq_30;pq;17.0;human;;human;
18;Müssen Sie tagsüber im Bett liegen oder in einem Sessel sitzen?;Manchmal muss ich tagsüber in einem Bett liegen.;5;3;;;eortc_qlq_30;pq;18.0;human;;human;
19;Brauchen Sie Hilfe beim Essen, Anziehen, Waschen oder Benutzen der Toilette?;Nein;5;5;;;eortc_qlq_30;pq;19.0;human;;human;
20;Waren Sie bei Ihrer Arbeit oder bei anderen tagtäglichen Beschäftigungen eingeschränkt?;Ja, ich arbeite als Lehrer und bin jetzt erstmal eine Zeit krankgeschrieben.;4;2;;;eortc_qlq_30;pq;20.0;human;;human;
